period_days,wideband_delta_chi2,narrowband_delta_chi2
1.256500000000000057e+02,1.875545253451537775e+01,3.263718076602562856e+00
1.257000000000000028e+02,1.883708737404738542e+01,3.347269860995497837e+00
1.257500000000000000e+02,1.892374227442156354e+01,3.432184604484304291e+00
1.257999999999999972e+02,1.901518952507191784e+01,3.518395030830158809e+00
1.258499999999999943e+02,1.911119710053787912e+01,3.605832030020152512e+00
1.259000000000000057e+02,1.921152927737452032e+01,3.694424769521825969e+00
1.259500000000000028e+02,1.931594723509775235e+01,3.784100807679657841e+00
1.260000000000000000e+02,1.942420963915502341e+01,3.874786208836888068e+00
1.260499999999999972e+02,1.953607320414531756e+01,3.966405659776527592e+00
1.260999999999999943e+02,1.965129323573630771e+01,4.058882587086883653e+00
1.261500000000000057e+02,1.976962414996052786e+01,4.152139275070849678e+00
1.262000000000000028e+02,1.989081996879060199e+01,4.246096983832624794e+00
1.262500000000000000e+02,2.001463479111702526e+01,4.340676067191078680e+00
1.262999999999999972e+02,2.014082323845927647e+01,4.435796090084811460e+00
1.263499999999999943e+02,2.026914087494615302e+01,4.531375945154148432e+00
1.264000000000000057e+02,2.039934460129402538e+01,4.627333968199210723e+00
1.264500000000000028e+02,2.053119302269463020e+01,4.723588052236624257e+00
1.265000000000000000e+02,2.066444679069517676e+01,4.820055759892237113e+00
1.265499999999999972e+02,2.079886891931440829e+01,4.916654433890341735e+00
1.265999999999999943e+02,2.093422507578347336e+01,5.013301305415729381e+00
1.266500000000000057e+02,2.107028384643881935e+01,5.109913600148249024e+00
1.267000000000000028e+02,2.120681697841314417e+01,5.206408641785277958e+00
1.267500000000000000e+02,2.134359959788322669e+01,5.302703952891302919e+00
1.267999999999999972e+02,2.148041040572803695e+01,5.398717352927601354e+00
1.268499999999999943e+02,2.161703185153800888e+01,5.494367053338910623e+00
1.269000000000000057e+02,2.175325028698743068e+01,5.589571749589289595e+00
1.269500000000000028e+02,2.188885609964403400e+01,5.684250710057836109e+00
1.270000000000000000e+02,2.202364382834179324e+01,5.778323861723751342e+00
1.270499999999999972e+02,2.215741226127806485e+01,5.871711872584896241e+00
1.270999999999999943e+02,2.228996451803191903e+01,5.964336230771722924e+00
1.271500000000000057e+02,2.242110811671472703e+01,6.056119320334429013e+00
1.272000000000000028e+02,2.255065502747744333e+01,6.146984493692889906e+00
1.272500000000000000e+02,2.267842171360193504e+01,6.236856140757954137e+00
1.272999999999999972e+02,2.280422916139518108e+01,6.325659754740892815e+00
1.273499999999999943e+02,2.292790290009542886e+01,6.413321994683855110e+00
1.274000000000000057e+02,2.304927301297584918e+01,6.499770744753769591e+00
1.274500000000000028e+02,2.316817414080780324e+01,6.584935170353920064e+00
1.275000000000000000e+02,2.328444547881202809e+01,6.668745771117270849e+00
1.275499999999999972e+02,2.339793076818876116e+01,6.751134430854001778e+00
1.275999999999999943e+02,2.350847828327608013e+01,6.832034464534947560e+00
1.276500000000000057e+02,2.361594081533786138e+01,6.911380662398105557e+00
1.277000000000000028e+02,2.372017565393411687e+01,6.989109331276136317e+00
1.277500000000000000e+02,2.382104456676977478e+01,7.065158333240626476e+00
1.277999999999999972e+02,2.391841377886415643e+01,7.139467121673993333e+00
1.278499999999999943e+02,2.401215395181881718e+01,7.211976774872672635e+00
1.279000000000000057e+02,2.410214016390595049e+01,7.282630027298328201e+00
1.279500000000000028e+02,2.418825189162703282e+01,7.351371298588318837e+00
1.280000000000000000e+02,2.427037299333477804e+01,7.418146720442843289e+00
1.280500000000000114e+02,2.434839169543702297e+01,7.482904161504782437e+00
1.280999999999999943e+02,2.442220058163846375e+01,7.545593250348034076e+00
1.281500000000000057e+02,2.449169658560458629e+01,7.606165396690187208e+00
1.281999999999999886e+02,2.455678098736473558e+01,7.664573810944004251e+00
